epoch,accuracy,loss,val_accuracy,val_loss
0,0.35621365904808044,1.3343031406402588,0.41786742210388184,1.2962114810943604
1,0.6221976280212402,1.0269438028335571,0.6484149694442749,0.9610157608985901
2,0.7860503792762756,0.6076873540878296,0.6743515729904175,0.8055950999259949
3,0.8416827917098999,0.4247593581676483,0.6945244669914246,0.8184881210327148
4,0.8776639699935913,0.33377721905708313,0.7118155360221863,0.8253328800201416
5,0.9034043550491333,0.27113986015319824,0.7002881765365601,0.9181838035583496
6,0.9252698421478271,0.22449906170368195,0.7146974205970764,0.9414417147636414
7,0.9399390816688538,0.18820321559906006,0.680115282535553,0.9881016612052917
8,0.9546083807945251,0.15953010320663452,0.6974063515663147,1.046787142753601
9,0.9593135714530945,0.13979126513004303,0.6772334575653076,1.1307297945022583
10,0.9659562706947327,0.11812379211187363,0.6743515729904175,1.1547294855117798
11,0.9676169157028198,0.11019722372293472,0.6772334575653076,1.2610526084899902
12,0.9670633673667908,0.1027584969997406,0.6714697480201721,1.268986701965332
13,0.9712150692939758,0.09450358897447586,0.6714697480201721,1.356845498085022
14,0.9701079726219177,0.09683135151863098,0.6657060384750366,1.3605700731277466
15,0.975643515586853,0.07668305188417435,0.6829971075057983,1.4206809997558594
16,0.975089967250824,0.07726416736841202,0.6685879230499268,1.4563473463058472
17,0.9753667116165161,0.07741362601518631,0.6685879230499268,1.4695686101913452
18,0.9778577089309692,0.07207381725311279,0.6628242135047913,1.4873934984207153
19,0.9773041605949402,0.06651058793067932,0.6628242135047913,1.5266470909118652
20,0.9761970639228821,0.06635556370019913,0.680115282535553,1.5604603290557861
21,0.9786880612373352,0.06316060572862625,0.6743515729904175,1.5627522468566895
22,0.975643515586853,0.06081949174404144,0.6714697480201721,1.6009628772735596
23,0.9767506122589111,0.06397035717964172,0.6685879230499268,1.6302415132522583
24,0.9781345129013062,0.060830257833004,0.6599423885345459,1.6513372659683228
